act Pair,Accuracy Subset1 Only,Accuracy Subset2 Only,Improvement (Subset2 vs Subset1) No Const,Number of Test Examples,Number of Train Examples
Johnny Mathis vs Amon Amarth,0.3333333333333333,1.0,0.6666666666666667,3,12
Johnny Mathis vs Ryan Beatty,0.3333333333333333,1.0,0.6666666666666667,6,23
Johnny Mathis vs Slowdive,0.3333333333333333,1.0,0.6666666666666667,6,23
Johnny Mathis vs Staind,0.0,0.6,0.6,5,16
Parmalee vs VNV Nation,0.14285714285714285,0.7142857142857143,0.5714285714285714,7,25
Eric Johnson vs Third Eye Blind,0.42857142857142855,1.0,0.5714285714285714,7,25
Eric Johnson vs Meshell Ndegeocello,0.42857142857142855,1.0,0.5714285714285714,7,25
Parmalee vs Ryan Beatty,0.2857142857142857,0.8571428571428571,0.5714285714285714,7,26
Johnny Mathis vs Jimmy Eat World,0.3333333333333333,0.8888888888888888,0.5555555555555556,9,35
Salebarbes vs Real Estate,0.5,1.0,0.5,2,6
Salebarbes vs Dorian Electra,0.5,1.0,0.5,2,8
Boyz II Men vs Rodrigo Y Gabriela,0.3333333333333333,0.8333333333333334,0.5,6,20
Salebarbes vs Matt and Kim,0.3333333333333333,0.8333333333333334,0.5,6,23
Salebarbes vs Flipturn,0.5,1.0,0.5,2,8
Salebarbes vs Madeleine Peyroux,0.5,1.0,0.5,2,7
Johnny Mathis vs Games We Play,0.5,1.0,0.5,4,16
Johnny Mathis vs Indigo De Souza,0.5,1.0,0.5,6,20
El Alfa vs Becky G,0.3333333333333333,0.8333333333333334,0.5,6,24
Salebarbes vs Leonid & Friends,0.5,1.0,0.5,2,4
Salebarbes vs STRFKR,0.5,1.0,0.5,2,7
Boyz II Men vs LSDREAM,0.4,0.9,0.5,10,38
Parmalee vs Igorrr,0.5,1.0,0.5,8,32
Johnny Mathis vs Lainey Wilson,0.5,1.0,0.5,6,23
Zach Williams vs Gary Allan,0.5,1.0,0.5,10,37
Johnny Mathis vs Drake White,0.3333333333333333,0.8333333333333334,0.5,6,23
Parmalee vs Nicotine Dolls,0.16666666666666666,0.6666666666666666,0.5,6,24
Johnny Mathis vs Zeds Dead,0.3333333333333333,0.8333333333333334,0.5,6,24
Parmalee vs Dope Lemon,0.125,0.625,0.5,8,29
Parmalee vs Mariah the Scientist,0.25,0.75,0.5,4,14
Zach Williams vs Dylan Matthew,0.45454545454545453,0.9090909090909091,0.45454545454545453,11,41
Intocable vs Anthony Jeselnik,0.5555555555555556,1.0,0.4444444444444444,9,33
Zach Williams vs Smokey Robinson,0.5555555555555556,1.0,0.4444444444444444,9,36
Zach Williams vs Los Angeles Azules,0.5555555555555556,1.0,0.4444444444444444,9,36
