act Pair,Accuracy Subset,Accuracy Subset + Const,Improvement Subset,Number of Test Examples,Number of Train Examples
Collective Soul vs Josiah & The Bonnevilles,0.3333333333333333,0.8333333333333334,0.5,6,20
Collective Soul vs Ledisi,0.6,1.0,0.4,5,17
Collective Soul vs Echo & The Bunnymen,0.6,1.0,0.4,5,16
Lee Brice vs Kim Petras,0.5,0.9,0.4,10,39
Lee Brice vs Nicotine Dolls,0.375,0.75,0.375,8,32
Lee Brice vs Herman's Hermits,0.5,0.875,0.375,8,30
Collective Soul vs The Mars Volta,0.25,0.625,0.375,8,31
The Avett Brothers vs Blake Shelton,0.5,0.8333333333333334,0.33333333333333337,6,21
Lee Brice vs Destin Conrad,0.4444444444444444,0.7777777777777778,0.33333333333333337,9,32
Lee Brice vs The Midnight,0.6666666666666666,1.0,0.33333333333333337,9,36
Collective Soul vs Taking Back Sunday,0.5,0.8333333333333334,0.33333333333333337,6,21
Lee Brice vs CloZee,0.4,0.7333333333333333,0.33333333333333326,15,57
Eric Johnson vs Clannad,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,33
Collective Soul vs Soul Glo,0.5555555555555556,0.8888888888888888,0.33333333333333326,9,33
Matchbox Twenty vs NF - Nate Feuerstein,0.46153846153846156,0.7692307692307693,0.3076923076923077,13,50
Eric Johnson vs Peter Gabriel,0.7,1.0,0.30000000000000004,10,39
Collective Soul vs Herman's Hermits,0.7142857142857143,1.0,0.2857142857142857,7,24
Collective Soul vs Deap Vally,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,27
Eric Johnson vs Rick Springfield,0.5714285714285714,0.8571428571428571,0.2857142857142857,14,55
Collective Soul vs Reverend Horton Heat,0.7142857142857143,1.0,0.2857142857142857,7,26
Collective Soul vs Bone Thugs-N-Harmony,0.2857142857142857,0.5714285714285714,0.2857142857142857,7,24
The Avett Brothers vs Caifanes,0.5714285714285714,0.8571428571428571,0.2857142857142857,7,24
Lee Brice vs Cory Wong,0.5454545454545454,0.8181818181818182,0.2727272727272728,11,44
Eric Johnson vs Youth Lagoon,0.45454545454545453,0.7272727272727273,0.27272727272727276,11,44
The Avett Brothers vs Laufey,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Collective Soul vs Explosions in the Sky,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Eric Johnson vs Trombone Shorty & Orleans Avenue,0.6363636363636364,0.9090909090909091,0.2727272727272727,11,43
Eric Johnson vs The Temptations,0.7272727272727273,1.0,0.2727272727272727,11,44
Lee Brice vs The Offspring,0.7272727272727273,1.0,0.2727272727272727,11,41
The Avett Brothers vs Paul Cauthen,0.7272727272727273,1.0,0.2727272727272727,11,44
Collective Soul vs Keller Williams,0.75,1.0,0.25,8,28
Eric Johnson vs Circle Jerks,0.75,1.0,0.25,8,30
Collective Soul vs Morgan Wade,0.75,1.0,0.25,8,30
Lee Brice vs Paul Anka,0.5,0.75,0.25,8,31
Lee Brice vs The Irish Tenors,0.25,0.5,0.25,8,31
Lee Brice vs MercyMe,0.75,1.0,0.25,12,44
Collective Soul vs Ricky Skaggs,0.5,0.75,0.25,8,29
The Avett Brothers vs Big Data,0.75,1.0,0.25,8,29
Collective Soul vs Aaron Lewis,0.5625,0.8125,0.25,16,64
Collective Soul vs Mudhoney,0.75,1.0,0.25,8,32
Collective Soul vs Darren Criss,0.25,0.5,0.25,8,31
The Avett Brothers vs Mudhoney,0.75,1.0,0.25,8,32
The Avett Brothers vs Ringo Starr & His All Starr Band,0.375,0.625,0.25,8,32
Eric Johnson vs Misery Signals,0.625,0.875,0.25,8,29
Eric Johnson vs Ty Segall,0.625,0.875,0.25,8,29
Collective Soul vs Marty Stuart,0.5,0.75,0.25,8,28
Collective Soul vs Charley Crockett,0.25,0.5,0.25,8,29
Collective Soul vs Samara Joy,0.25,0.5,0.25,8,30
Lee Brice vs Sylvan Esso,0.5,0.75,0.25,12,45
Eric Johnson vs Quicksand,0.625,0.875,0.25,8,30
Lee Brice vs Samantha Fish,0.5,0.75,0.25,12,45
The Avett Brothers vs Thrice,0.625,0.875,0.25,8,30
Collective Soul vs G. Love & Special Sauce,0.75,1.0,0.25,8,29
The Avett Brothers vs Old Dominion,0.46153846153846156,0.6923076923076923,0.23076923076923073,13,51
